Date Num,date,attendees,,,,
29,29-Jan-18,20,,,,
45,14-Feb-18,100,,,,
46,15-Feb-18,1121,,,,
47,16-Feb-18,1080,,,,
48,17-Feb-18,4400,,,,
49,18-Feb-18,320,,,,
50,19-Feb-18,1585,,,,
51,20-Feb-18,1780,,,,
52,21-Feb-18,18925,,,,
53,22-Feb-18,1740,,,,
54,23-Feb-18,4330,,,,
55,24-Feb-18,495,,,,
56,25-Feb-18,4320,,,,
57,26-Feb-18,1280,,,,
58,27-Feb-18,2120,,,,
59,28-Feb-18,785,,,,
60,1-Mar-18,320,,,,
61,2-Mar-18,1100,,,,
62,3-Mar-18,260,,,,
63,4-Mar-18,114,,,,
64,5-Mar-18,120,,,,
65,6-Mar-18,200,,,,
66,7-Mar-18,5455,,,,
67,8-Mar-18,70,,,,
68,9-Mar-18,625,,,,
69,10-Mar-18,100,,,,
70,11-Mar-18,175,,,,
71,12-Mar-18,20,,,,
72,13-Mar-18,175,,,,
73,14-Mar-18,159088,,,,
74,15-Mar-18,3760,,,,
75,16-Mar-18,120,,,,
76,17-Mar-18,50,,,,
77,18-Mar-18,25,,,,
79,20-Mar-18,350,,,,
80,21-Mar-18,150,,,,
81,22-Mar-18,120,,,,
82,23-Mar-18,1785,,,,
83,24-Mar-18,1090040,,,,
84,25-Mar-18,100,,,,
86,27-Mar-18,30,,,,
87,28-Mar-18,240,,,,
88,29-Mar-18,100,,,,
90,31-Mar-18,150,,,,
96,6-Apr-18,62,,,,
,,,,,,
,,,,,,
